Sr No, Divison, Spec Number, Spec Name, Page No, Spec Sub Section, Document Type, Descriptions
24, 01 - General Requirements, 01 78 00, CLOSEOUT SUBMITTALS ,96, S-1.7, Attic Stock,  Prepare data in the form of an instructional manu
25, 01 - General Requirements, 01 78 00, CLOSEOUT SUBMITTALS ,96, S-1.7, O&M Data,  Prepare data in the form of an instructional manu
26, 01 - General Requirements, 01 78 00, CLOSEOUT SUBMITTALS ,96, S-1.7, Test-Reports,  Prepare data in the form of an instructional manu
27, 01 - General Requirements, 01 78 00, CLOSEOUT SUBMITTALS ,96, S-1.8, Warranty,  Categories of Specific Warranties: Warranties on 
28, 01 - General Requirements, 01 78 36, WARRANTIES ,102, S-1.3, Warranty,  Provide preprinted written warranties published b
29, 01 - General Requirements, 01 78 36, WARRANTIES ,102, S-1.4, Warranty,  Written warranties required by or incorporated in
30, 01 - General Requirements, 01 78 36, WARRANTIES ,102, S-1.7, Warranty,  When Work covered by a warranty has failed and be
31, 01 - General Requirements, 01 78 36, WARRANTIES ,102, S-1.9B, Warranty,  Rejection of Warranties:  Owner reserves the righ
32, 01 - General Requirements, 01 79 00, DEMONSTRATION AND TRAINING ,104, S-1.1, Owner Training,  Demonstrating equipment.  Instruction and trainin
33, 01 - General Requirements, 01 79 00, DEMONSTRATION AND TRAINING ,104, S-1.2, O&M Data,  Demonstrate operation and maintenance of Products
34, 01 - General Requirements, 01 91 00, GENERAL COMMISSIONING REQUIREMENTS ,106, S-1.5, Owner Training,  Provide the OPR documentation to the CxA and each
35, 01 - General Requirements, 01 91 00, GENERAL COMMISSIONING REQUIREMENTS ,106, S-1.6, Test-Reports,  Each Contractor; Sub-Contractor and Installer sha
36, 01 - General Requirements, 01 91 00, GENERAL COMMISSIONING REQUIREMENTS ,106, S-1.7, Test-Reports,  Organize and lead the commissioning team.  Provid
37, 01 - General Requirements, 01 91 00, GENERAL COMMISSIONING REQUIREMENTS ,106, S-2.3, Test-Reports,  During level 5 and Benchmark testing; the General
38, 03 - Concrete, 03 01 36, RESURFACING AND PATCHING OF CONCRETE SLABS ,120, S-1.4, Test-Reports,  Information and Review Submittals: Submit the fol
39, 03 - Concrete, 03 05 13, CONCRETE SEALERS ,128, S-2.1, Attic Stock,  Transparent non--yellowing water--based acrylic s
40, 03 - Concrete, 03 30 00, CAST-IN-PLACE CONCRETE ,131, S-1.5, Test-Reports,  Material Certificates:  For each of the following
41, 03 - Concrete, 03 30 00, CAST-IN-PLACE CONCRETE ,131, S-2.8, Test-Reports,  Prepare design mixtures for each type and strengt
42, 04 - Masonry, 04 20 00, UNIT MASONRY ,147, S-1.4, Test-Reports,  Submit the following under provisions of Section 
43, 05 - Metals, 05 12 00, STRUCTURAL STEEL FRAMING ,159, S-1.5, Test-Reports,  Product Data:  For each type of product indicated
44, 05 - Metals, 05 12 00, STRUCTURAL STEEL FRAMING ,159, S-1.6, Test-Reports,  Qualification Data:  For qualified fabricator and
45, 05 - Metals, 05 12 00, STRUCTURAL STEEL FRAMING ,159, S-2.6, Test-Reports,  Testing Agency: Owner will engage an independent 
46, 05 - Metals, 05 12 00, STRUCTURAL STEEL FRAMING ,159, S-3.5, Test-Reports,  Testing Agency:  Owner will engage a qualified in
47, 05 - Metals, 05 50 00, METAL FABRICATIONS ,167, S-1.5A, Delegated Design,  Information and Review Submittals: Submit the fol
48, 05 - Metals, 05 50 00, METAL FABRICATIONS ,167, S-1.5, Test-Reports,  Information and Review Submittals: Submit the fol
49, 06 - Wood; Plastics; and Composites, 06 10 00, ROUGH CARPENTRY ,183, S-2.2, Test-Reports,  Treated wood products shall be produced by a sing
50, 07 - Thermal and Moisture Protection, 07 59 00, CUTTING AND PATCHING MEMBRANE ROOFING ,197, S-1.4AB, Warranty,  Submit the following under provisions of Section 
51, 07 - Thermal and Moisture Protection, 07 59 00, CUTTING AND PATCHING MEMBRANE ROOFING ,197, S-1.4, Test-Reports,  Submit the following under provisions of Section 
52, 07 - Thermal and Moisture Protection, 07 59 00, CUTTING AND PATCHING MEMBRANE ROOFING ,197, S-1.5, Test-Reports,  The manufacturer’s authorized representative shal
53, 07 - Thermal and Moisture Protection, 07 59 00, CUTTING AND PATCHING MEMBRANE ROOFING ,197, S-1.9, Warranty,  Deliver to the Owner upon completion of the work 
54, 07 - Thermal and Moisture Protection, 07 62 00, SHEET METAL FLASHING AND TRIM ,204, S-1.4E, Warranty,  Warranty:  Sample of special warranty. 
55, 07 - Thermal and Moisture Protection, 07 62 00, SHEET METAL FLASHING AND TRIM ,204, S-1.7, Warranty,  Special Warranty on Finishes:  Manufacturer's sta
56, 07 - Thermal and Moisture Protection, 07 72 00, ROOF ACCESSORIES ,211, S-1.8, Warranty,  Provide 5 year warranty under provisions of Secti
57, 07 - Thermal and Moisture Protection, 07 84 00, FIRESTOPPING ,217, S-1.5, Test-Reports,  Information and Review Submittals: Submit the fol
58, 07 - Thermal and Moisture Protection, 07 84 00, FIRESTOPPING ,217, S-3.3, Test-Reports,  General 1. Installation of firestops shall be per
59, 07 - Thermal and Moisture Protection, 07 84 00, FIRESTOPPING ,217, S-3.5, Test-Reports,  Inspecting Agency: Owner will engage a qualified 
60, 07 - Thermal and Moisture Protection, 07 92 00, JOINT SEALANTS ,228, S-1.4S, Warranty,  1. Bonds and Warranty Documentation: Manufacturer
61, 07 - Thermal and Moisture Protection, 07 92 00, JOINT SEALANTS ,228, S-1.4, Test-Reports,  Information and Review Submittals: Submit the fol
62, 07 - Thermal and Moisture Protection, 07 92 00, JOINT SEALANTS ,228, S-1.8, Warranty,  Provide 5 year warranty under provisions of Secti
63, 08 - Openings, 08 11 13, HOLLOW METAL DOORS AND FRAMES ,239, S-1.5S, Warranty,  1. Bonds and Warranty Documentation: Manufacturer
64, 08 - Openings, 08 70 00, HARDWARE ,251, S-1.3, Keys,  Product Data:  For each type of product indicated
65, 08 - Openings, 08 70 00, HARDWARE ,251, S-1.3, O&M Data,  Product Data:  For each type of product indicated
66, 08 - Openings, 08 70 00, HARDWARE ,251, S-1.7, Warranty,  Special Warranties: 1. Submit manufacturer’s stan
67, 08 - Openings, 08 70 00, HARDWARE ,251, S-1.8, O&M Data,  Instructions: 1. Arrange for hardware supplier to
68, 08 - Openings, 08 70 00, HARDWARE ,251, S-1.8, Test-Reports,  Instructions: 1. Arrange for hardware supplier to
69, 08 - Openings, 08 70 00, HARDWARE ,251, S-1.8, Owner Training,  Instructions: 1. Arrange for hardware supplier to
70, 08 - Openings, 08 80 00, GLAZING ,263, S-1.5AS, Warranty,  1. Bonds and Warranty Documentation: a. Manufactu
71, 08 - Openings, 08 80 00, GLAZING ,263, S-1.9, Warranty,  General: Submit warranties under provisions of Se
72, 08 - Openings, 08 80 00, GLAZING ,263, S-2.2, Attic Stock,  Glass Type 1: Not Used   Glass Type 2: Not Used. 
73, 08 - Openings, 08 91 00, LOUVERS ,271, S-1.4, Test-Reports,  See Section 01 3000 - Administrative Requirements
74, 08 - Openings, 08 91 00, LOUVERS ,271, S-1.5C, Delegated Design,  Delegated Design of Support Brackets. Engage a qu
75, 08 - Openings, 08 91 00, LOUVERS ,271, S-1.6, Warranty,  See Section 01 7800 - Closeout Submittals; for ad
76, 09 - Finishes, 09 51 00, ACOUSTICAL CEILINGS ,294, S-1.10, Warranty,  In addition to the specific guarantee requirement
77, 09 - Finishes, 09 51 00, ACOUSTICAL CEILINGS ,294, S-1.11, Attic Stock,  Provide to the Owner; extra ceiling panel and sus
78, 09 - Finishes, 09 65 13, RESILIENT BASE AND ACCESSORIES ,299, S-1.5, Attic Stock,  Information and Review Submittals: Submit the fol
79, 09 - Finishes, 09 65 13, RESILIENT BASE AND ACCESSORIES ,299, S-1.9, Warranty,  General: Submit warranties under provisions of Se
80, 09 - Finishes, 09 69 00, ACCESS FLOORING ,303, S-1.5AB, Warranty,  Submit the following under provisions of Section 
81, 09 - Finishes, 09 69 00, ACCESS FLOORING ,303, S-1.5, O&M Data,  Submit the following under provisions of Section 
82, 09 - Finishes, 09 69 00, ACCESS FLOORING ,303, S-1.12, Warranty,  Provide 5 year warranty under provisions of Secti
83, 09 - Finishes, 09 69 00, ACCESS FLOORING ,303, S-1.13, Attic Stock,  Upon completion of the Work of this Section; deli
84, 09 - Finishes, 09 91 00, PAINTING ,314, S-1.4, Attic Stock,  Submit the following under provisions of Section 
85, 09 - Finishes, 09 97 26, EXTERIOR TEXTURED COATINGS ,327, S-1.4S, Warranty,  1. Bonds and Warranty Documentation: Manufacturer
86, 09 - Finishes, 09 97 26, EXTERIOR TEXTURED COATINGS ,327, S-1.4, Test-Reports,  Information and Review Submittals: Submit the fol
87, 09 - Finishes, 09 97 26, EXTERIOR TEXTURED COATINGS ,327, S-1.8, Warranty,  In addition to the specific guarantee requirement
88, 21 - Fire Suppression, 21 00 10, BASIC FIRE PROTECTION REQUIREMENTS ,344, S-1.5, O&M Data,  Refer to Division 1 for additional regulatory or 
89, 21 - Fire Suppression, 21 00 10, BASIC FIRE PROTECTION REQUIREMENTS ,344, S-1.6Q, Warranty,  Meet Project requirements including space; size a
90, 21 - Fire Suppression, 21 00 10, BASIC FIRE PROTECTION REQUIREMENTS ,344, S-1.6, O&M Data,  Refer to Section 01 33 00 – Submittal Procedures.
91, 21 - Fire Suppression, 21 00 10, BASIC FIRE PROTECTION REQUIREMENTS ,344, S-1.7, Attic Stock,  Provide extra materials as specified in each sect
92, 21 - Fire Suppression, 21 00 10, BASIC FIRE PROTECTION REQUIREMENTS ,344, S-1.8, O&M Data,  Refer to Section 01 77 00 – Closeout Procedures. 
93, 21 - Fire Suppression, 21 00 10, BASIC FIRE PROTECTION REQUIREMENTS ,344, S-1.9, Attic Stock,  In addition to the requirements of Division 1; af
94, 21 - Fire Suppression, 21 00 10, BASIC FIRE PROTECTION REQUIREMENTS ,344, S-1.9, O&M Data,  In addition to the requirements of Division 1; af
95, 21 - Fire Suppression, 21 00 10, BASIC FIRE PROTECTION REQUIREMENTS ,344, S-1.9, Test-Reports,  In addition to the requirements of Division 1; af
96, 21 - Fire Suppression, 21 00 10, BASIC FIRE PROTECTION REQUIREMENTS ,344, S-1.10, Warranty,  Refer to individual sections and Division 1 for a
97, 21 - Fire Suppression, 21 00 10, BASIC FIRE PROTECTION REQUIREMENTS ,344, S-3.4, Test-Reports,  For additional requirements refer to Section 01 7
98, 21 - Fire Suppression, 21 01 00, SPRINKLER SYSTEMS ,364, S-1.3B, Delegated Design,  Delegated Design:  Design sprinkler system(s); in
99, 21 - Fire Suppression, 21 01 00, SPRINKLER SYSTEMS ,364, S-1.7, Attic Stock,  Refer to Section 01 33 00 – Submittal Procedures.
100, 21 - Fire Suppression, 21 01 00, SPRINKLER SYSTEMS ,364, S-1.12, Attic Stock,  Furnish under provisions indicated in Section 21 
101, 21 - Fire Suppression, 21 01 00, SPRINKLER SYSTEMS ,364, S-1.14, O&M Data,  Submit under provisions indicated in Section 21 0
102, 21 - Fire Suppression, 21 01 00, SPRINKLER SYSTEMS ,364, S-1.15, Warranty,  Provide under provisions indicated in Section 21 
103, 21 - Fire Suppression, 21 01 00, SPRINKLER SYSTEMS ,364, S-3.1, Test-Reports,  Perform fire hydrant flow test according to NFPA 
104, 21 - Fire Suppression, 21 01 00, SPRINKLER SYSTEMS ,364, S-3.13, Test-Reports,  Perform tests and inspections.  Tests and Inspect
105, 22 - Plumbing, 22 00 10, BASIC PLUMBING REQUIREMENTS ,388, S-1.5, O&M Data,  Refer to Division 1 for additional regulatory or 
106, 22 - Plumbing, 22 00 10, BASIC PLUMBING REQUIREMENTS ,388, S-1.6Q, Warranty,  Meet Project requirements including space; size a
107, 22 - Plumbing, 22 00 10, BASIC PLUMBING REQUIREMENTS ,388, S-1.6, O&M Data,  Provide and submit under provisions of Division 1
108, 22 - Plumbing, 22 00 10, BASIC PLUMBING REQUIREMENTS ,388, S-1.7, Attic Stock,  Provide extra materials as specified in each sect
109, 22 - Plumbing, 22 00 10, BASIC PLUMBING REQUIREMENTS ,388, S-1.8, O&M Data,  Provide and submit under provisions of Division 1
110, 22 - Plumbing, 22 00 10, BASIC PLUMBING REQUIREMENTS ,388, S-1.9, Attic Stock,  In addition to the requirements of Division 1 pro
111, 22 - Plumbing, 22 00 10, BASIC PLUMBING REQUIREMENTS ,388, S-1.9, O&M Data,  In addition to the requirements of Division 1 pro
112, 22 - Plumbing, 22 00 10, BASIC PLUMBING REQUIREMENTS ,388, S-1.9, Test-Reports,  In addition to the requirements of Division 1 pro
113, 22 - Plumbing, 22 00 10, BASIC PLUMBING REQUIREMENTS ,388, S-1.10, Warranty,  Refer to individual sections and Division 1 for a
114, 22 - Plumbing, 22 00 10, BASIC PLUMBING REQUIREMENTS ,388, S-3.4, Test-Reports,  For additional requirements refer to Section 0177
115, 22 - Plumbing, 22 01 00, PLUMBING SYSTEMS ,407, S-1.5, Attic Stock,  Submit in accordance with Section 22 00 10: 1. Sh
116, 22 - Plumbing, 22 01 00, PLUMBING SYSTEMS ,407, S-1.5, Test-Reports,  Submit in accordance with Section 22 00 10: 1. Sh
117, 22 - Plumbing, 22 01 00, PLUMBING SYSTEMS ,407, S-1.8, Warranty,  Manufacturer’s Warranty: Provide the manufacturer
118, 22 - Plumbing, 22 01 00, PLUMBING SYSTEMS ,407, S-1.8, O&M Data,  Manufacturer’s Warranty: Provide the manufacturer
119, 22 - Plumbing, 22 01 00, PLUMBING SYSTEMS ,407, S-3.14, Test-Reports,  During installation; notify authorities having ju
120, 23 - Heating; Ventilating; and Air, 23 00 10, GENERAL MECHANICAL REQUIREMENTS ,423, S-1.5, O&M Data,  Refer to Division 1 for additional regulatory or 
121, 23 - Heating; Ventilating; and Air, 23 00 10, GENERAL MECHANICAL REQUIREMENTS ,423, S-1.6Q, Warranty,  Meet Project requirements including space; size a
122, 23 - Heating; Ventilating; and Air, 23 00 10, GENERAL MECHANICAL REQUIREMENTS ,423, S-1.6, O&M Data,  Provide and submit under provisions of Division 1
123, 23 - Heating; Ventilating; and Air, 23 00 10, GENERAL MECHANICAL REQUIREMENTS ,423, S-1.7, Attic Stock,  Provide extra materials as specified in each sect
124, 23 - Heating; Ventilating; and Air, 23 00 10, GENERAL MECHANICAL REQUIREMENTS ,423, S-1.8, O&M Data,  Provide and submit under provisions of Division 1
125, 23 - Heating; Ventilating; and Air, 23 00 10, GENERAL MECHANICAL REQUIREMENTS ,423, S-1.8, Test-Reports,  Provide and submit under provisions of Division 1
126, 23 - Heating; Ventilating; and Air, 23 00 10, GENERAL MECHANICAL REQUIREMENTS ,423, S-1.9, Attic Stock,  In addition to the requirements of section 017823
127, 23 - Heating; Ventilating; and Air, 23 00 10, GENERAL MECHANICAL REQUIREMENTS ,423, S-1.9, O&M Data,  In addition to the requirements of section 017823
128, 23 - Heating; Ventilating; and Air, 23 00 10, GENERAL MECHANICAL REQUIREMENTS ,423, S-1.9, Test-Reports,  In addition to the requirements of section 017823
129, 23 - Heating; Ventilating; and Air, 23 00 10, GENERAL MECHANICAL REQUIREMENTS ,423, S-1.10, Warranty,  Refer to individual sections and Division 1 for a
130, 23 - Heating; Ventilating; and Air, 23 00 10, GENERAL MECHANICAL REQUIREMENTS ,423, S-3.4, Test-Reports,  For additional requirements refer to Section 0177
131, 23 - Heating; Ventilating; and Air, 23 05 13, COMMON MOTOR REQUIREMENTS FOR HVAC EQUIPMENT ,448, S-1.7, Attic Stock,  Furnish under provisions indicated in Section 23 
132, 23 - Heating; Ventilating; and Air, 23 05 13, COMMON MOTOR REQUIREMENTS FOR HVAC EQUIPMENT ,448, S-1.9, O&M Data,  Submit under provisions indicated in Section 23 0
133, 23 - Heating; Ventilating; and Air, 23 05 13, COMMON MOTOR REQUIREMENTS FOR HVAC EQUIPMENT ,448, S-1.10, Warranty,  Provide under provisions indicated in Section 23 
134, 23 - Heating; Ventilating; and Air, 23 08 00, MECHANICAL GENERAL COMMISSIONING REQUIREMENTS ,464, S-1.6, Test-Reports,  Assign representatives with expertise and authori
135, 23 - Heating; Ventilating; and Air, 23 08 13, TESTING; ADJUSTING; AND BALANCING ,467, S-1.1, Test-Reports,  Summary 1. Section Includes: a. Testing & Balanci
136, 23 - Heating; Ventilating; and Air, 23 08 13, TESTING; ADJUSTING; AND BALANCING ,467, S-1.7, Test-Reports,  Submittals required here and under Section 23 00 
137, 23 - Heating; Ventilating; and Air, 23 08 13, TESTING; ADJUSTING; AND BALANCING ,467, S-1.9, O&M Data,  Submit under provisions indicated in Section 23 0
138, 23 - Heating; Ventilating; and Air, 23 08 13, TESTING; ADJUSTING; AND BALANCING ,467, S-1.10, Warranty,  Provide under provisions indicated in Section 23 
139, 23 - Heating; Ventilating; and Air, 23 08 13, TESTING; ADJUSTING; AND BALANCING ,467, S-3.2, Test-Reports,  The Air Balance Vendor shall provide qualified pe
140, 23 - Heating; Ventilating; and Air, 23 09 00, BUILDING MONITORING SYSTEM ,473, S-1.1, Owner Training,  Furnish and install a complete direct digital con
141, 23 - Heating; Ventilating; and Air, 23 09 00, BUILDING MONITORING SYSTEM ,473, S-1.3, Warranty,  The DDC system Vendor/Contractor shall guarantee 
142, 23 - Heating; Ventilating; and Air, 23 09 00, BUILDING MONITORING SYSTEM ,473, S-1.4, Test-Reports,  The control systems installer shall provide full 
143, 23 - Heating; Ventilating; and Air, 23 09 00, BUILDING MONITORING SYSTEM ,473, S-1.5, O&M Data,  Provide one hard copy and one electronic copy of 
144, 23 - Heating; Ventilating; and Air, 23 09 00, BUILDING MONITORING SYSTEM ,473, S-1.5, Test-Reports,  Provide one hard copy and one electronic copy of 
145, 23 - Heating; Ventilating; and Air, 23 09 00, BUILDING MONITORING SYSTEM ,473, S-1.6, O&M Data,  Start system and perform necessary testing and de
146, 23 - Heating; Ventilating; and Air, 23 09 00, BUILDING MONITORING SYSTEM ,473, S-2.1, Attic Stock,  All products used in this project installation sh
147, 23 - Heating; Ventilating; and Air, 23 09 00, BUILDING MONITORING SYSTEM ,473, S-2.3, Attic Stock,  Each BCU shall monitor and control the HVAC and u
148, 23 - Heating; Ventilating; and Air, 23 23 00, REFRIGERANT PIPING ,488, S-1.7, Attic Stock,  Furnish under provisions indicated in Section 23 
149, 23 - Heating; Ventilating; and Air, 23 23 00, REFRIGERANT PIPING ,488, S-1.9, O&M Data,  Submit under provisions indicated in Section 23 0
150, 23 - Heating; Ventilating; and Air, 23 23 00, REFRIGERANT PIPING ,488, S-1.10, Warranty,  Provide under provisions indicated in Section 23 
151, 23 - Heating; Ventilating; and Air, 23 23 00, REFRIGERANT PIPING ,488, S-3.7, Test-Reports,  Perform tests and inspections and prepare test re
152, 23 - Heating; Ventilating; and Air, 23 30 00, DUCTWORK AND ACCESSORIES ,495, S-1.6, Attic Stock,  Submit shop drawings for all ductwork systems lay
153, 23 - Heating; Ventilating; and Air, 23 30 00, DUCTWORK AND ACCESSORIES ,495, S-1.6, O&M Data,  Submit shop drawings for all ductwork systems lay
154, 23 - Heating; Ventilating; and Air, 23 36 00, AIR TERMINAL UNITS ,503, S-1.7, Attic Stock,  Furnish under provisions indicated in Section 23 
155, 23 - Heating; Ventilating; and Air, 23 36 00, AIR TERMINAL UNITS ,503, S-1.9, O&M Data,  Submit under provisions indicated in Section 23 0
156, 23 - Heating; Ventilating; and Air, 23 36 00, AIR TERMINAL UNITS ,503, S-1.10, Warranty,  Provide under provisions indicated in Section 23 
157, 23 - Heating; Ventilating; and Air, 23 36 00, AIR TERMINAL UNITS ,503, S-3.5, Test-Reports,  Testing Agency:  Owner will engage a qualified te
158, 23 - Heating; Ventilating; and Air, 23 74 13, PACKAGED ROOFTOP VENTILATION UNIT ,508, S-1.1, Test-Reports,  Furnish and install equipment and appurtenances r
159, 23 - Heating; Ventilating; and Air, 23 74 13, PACKAGED ROOFTOP VENTILATION UNIT ,508, S-1.5D, Warranty,  Provide full parts and labor warranty for a perio
160, 23 - Heating; Ventilating; and Air, 23 74 13, PACKAGED ROOFTOP VENTILATION UNIT ,508, S-1.5, Attic Stock,  Submit shop drawings for packaged rooftop unit an
161, 23 - Heating; Ventilating; and Air, 23 74 13, PACKAGED ROOFTOP VENTILATION UNIT ,508, S-1.5, O&M Data,  Submit shop drawings for packaged rooftop unit an
162, 23 - Heating; Ventilating; and Air, 23 81 25, REFRIGERANT BASED PRECISION COOLING SYSTEM ,512, S-1.8, Attic Stock,  Furnish under provisions indicated in Section 23 
163, 23 - Heating; Ventilating; and Air, 23 81 25, REFRIGERANT BASED PRECISION COOLING SYSTEM ,512, S-1.10, O&M Data,  Submit under provisions indicated in Section 23 0
164, 23 - Heating; Ventilating; and Air, 23 81 25, REFRIGERANT BASED PRECISION COOLING SYSTEM ,512, S-1.11, Warranty,  Provide under provisions indicated in Section 23 
165, 23 - Heating; Ventilating; and Air, 23 84 13, HUMIDIFIERS ,520, S-1.7, Attic Stock,  Furnish under provisions indicated in Section 23 
166, 23 - Heating; Ventilating; and Air, 23 84 13, HUMIDIFIERS ,520, S-1.9, O&M Data,  Submit under provisions indicated in Section 23 0
167, 23 - Heating; Ventilating; and Air, 23 84 13, HUMIDIFIERS ,520, S-1.10, Warranty,  Provide under provisions indicated in Section 23 
168, 26 - Electrical, 26 00 10, BASIC ELECTRICAL REQUIREMENTS ,523, S-1.5, O&M Data,  Refer to Division 1 for additional regulatory or 
169, 26 - Electrical, 26 00 10, BASIC ELECTRICAL REQUIREMENTS ,523, S-1.6Q, Warranty,  Meet Project requirements including space; size a
170, 26 - Electrical, 26 00 10, BASIC ELECTRICAL REQUIREMENTS ,523, S-1.6, O&M Data,  Provide and submit under provisions of Division 1
171, 26 - Electrical, 26 00 10, BASIC ELECTRICAL REQUIREMENTS ,523, S-1.7, Attic Stock,  Provide extra materials as specified in each sect
172, 26 - Electrical, 26 00 10, BASIC ELECTRICAL REQUIREMENTS ,523, S-1.8, O&M Data,  Provide and submit under provisions of Division 1
173, 26 - Electrical, 26 00 10, BASIC ELECTRICAL REQUIREMENTS ,523, S-1.9, Attic Stock,  In addition to the requirements of Section 01 78 
174, 26 - Electrical, 26 00 10, BASIC ELECTRICAL REQUIREMENTS ,523, S-1.9, O&M Data,  In addition to the requirements of Section 01 78 
175, 26 - Electrical, 26 00 10, BASIC ELECTRICAL REQUIREMENTS ,523, S-1.9, Test-Reports,  In addition to the requirements of Section 01 78 
176, 26 - Electrical, 26 00 10, BASIC ELECTRICAL REQUIREMENTS ,523, S-1.10, Warranty,  Refer to individual sections and Division 1 for a
177, 26 - Electrical, 26 00 10, BASIC ELECTRICAL REQUIREMENTS ,523, S-3.5, Test-Reports,  For additional requirements refer to Section 01 7
178, 26 - Electrical, 26 05 00, COMMON WORK RESULTS FOR ELECTRICAL ,542, S-1.7, Attic Stock,  Furnish under provisions indicated in Section 26 
179, 26 - Electrical, 26 05 00, COMMON WORK RESULTS FOR ELECTRICAL ,542, S-1.9, O&M Data,  Submit under provisions indicated in Section 26 0
180, 26 - Electrical, 26 05 00, COMMON WORK RESULTS FOR ELECTRICAL ,542, S-1.10, Warranty,  Provide under provisions indicated in Section 26 
181, 26 - Electrical, 26 05 00, COMMON WORK RESULTS FOR ELECTRICAL ,542, S-3.5, Attic Stock,  Watertight Seals 1. Conduits entering from the ex
182, 26 - Electrical, 26 05 19, ELECTRICAL POWER CONDUCTORS AND CABLES (600 VOLTS OR LESS) ,552, S-1.7, Attic Stock,  Furnish under provisions indicated in Section 26 
183, 26 - Electrical, 26 05 19, ELECTRICAL POWER CONDUCTORS AND CABLES (600 VOLTS OR LESS) ,552, S-1.9, O&M Data,  Submit under provisions indicated in Section 26 0
184, 26 - Electrical, 26 05 19, ELECTRICAL POWER CONDUCTORS AND CABLES (600 VOLTS OR LESS) ,552, S-1.10, Warranty,  Provide under provisions indicated in Section 26 
185, 26 - Electrical, 26 05 26, GROUNDING ,562, S-1.7, Attic Stock,  Furnish under provisions indicated in Section 26 
186, 26 - Electrical, 26 05 26, GROUNDING ,562, S-1.8, Test-Reports,  Submit under provisions indicated in Section 26 0
187, 26 - Electrical, 26 05 26, GROUNDING ,562, S-1.9, O&M Data,  Submit under provisions indicated in Section 26 0
188, 26 - Electrical, 26 05 26, GROUNDING ,562, S-1.10, Warranty,  Provide under provisions indicated in Section 26 
189, 26 - Electrical, 26 05 29, HANGERS AND SUPPORTS FOR ELECTRICAL SYSTEMS ,567, S-1.1B, Delegated Design,  Meet the following performance requirements: 1. S
